S.No,un_number,proper_shipping_name,simplified_name,hazard_class,subsidiary_risks,packing_group,hazard_labels_required,erg_guide_number,special_provisions,qty_ltd_passenger_aircraft,packing_instruction_passenger_aircraft,qty_ltd_cargo_aircraft,packing_instruction_cargo_aircraft,description_notes,is_marine_pollutant,is_environmentally_hazardous
1,1088,Acetal,Acetal,3,,,Flamm. liquid,127,,,,,,,FALSE,FALSE
2,1089,Acetaldehyde,Acetaldehyde,3,,,Flamm. liquid,129P,,,,,,,FALSE,FALSE
3,1841,Acetaldehyde ammonia,"Acetaldehyde, ammonia",9,,,Miscellaneous,171,,,,,,,FALSE,FALSE
4,2332,Acetaldehyde oxime,"Acetaldehyde oxide, Acetaldehyde, oxime ",3,,,Flamm. liquid,129,,,,,,,FALSE,FALSE
5,2789,"Acetic acid, glacial","Acetic acid, acetic",8,3,,"Corrosive & Flamm. liquid",132,,,,,,,FALSE,FALSE
6,2790,"Acetic acid solution (more than 10% but less than 50% acid, by weight)","Acetic Acid, Acetic",8,,,Corrosive,153,,,,,,,FALSE,FALSE
7,2789,"Acetic acid solution (more than 80% acid, by weight)","Acetic acid, Acetic",8,3,,"Corrosive & Flamm. liquid",132,,,,,,,FALSE,FALSE
8,2790,"Acetic acid solution (not less than 50% but not more than 80% acid, by weight)","Acetic acid, Acetic",8,,,Corrosive,,,,,,,,FALSE,FALSE
9,1715,Acetic anhydride,"Acetic anhydride, acetic, anhydride",8,3,,"Corrosive & Flamm. liquid",137,,,,,,,FALSE,FALSE
10,1090,Acetone,Acetone,3,,,Flamm. liquid,127,,,,,,,FALSE,FALSE
11,1541,"Acetone cyanohydrin, stabilized","Acetone cyanohydrin, Acetone, cyanohydrin",6.1,,,,155,,,,,,,FALSE,FALSE
12,1091,Acetone oils,"Acetone oils, Acetone",3,,,Flamm. liquid,127,,,,,,,FALSE,FALSE
13,1648,Acetonitrile,Acetonitrile,3,,,Flamm. liquid,127,,,,,,,FALSE,FALSE
14,1716,Acetyl bromide,"Acetyl bromide, Acetyl, bromide",8,,,Corrosive,156,,,,,,,FALSE,FALSE
15,1717,Acetyl chloride,"Acetyl chloride, Acetyl, chloride",3,8,,Flamm. liquid & Corrosive,155,,,,,,,FALSE,FALSE
16,1001,"Acetylene, dissolved",Acetylene,2.1,,,Flamm. gas,116,,,,,,,FALSE,FALSE
17,3374,"Acetylene, solvent free",Acetylene,2.1,,,Flamm. gas,116,,,,,,,FALSE,FALSE
18,1898,Acetyl iodide,"Acetyl iodide, Acetyl, iodide",8,,,Corrosive,156,,,,,,,FALSE,FALSE
19,2621,Acetyl methyl carbinol,"Acetyl methyl carbinol, Acetyl, methyl, carbinol, Acetyl methyl, methyl carbinol",3,,,Flamm. liquid,127,,,,,,,FALSE,FALSE
20,2713,Acridine,Acridine,6.1,,,Toxic,153,,,,,,,FALSE,FALSE
21,2607,"Acrolein dimer, stabilized","Acrolein dimer, Acrolein, dimer",3,,,Flamm. liquid,129P,,,,,,,FALSE,FALSE
22,1092,"Acrolein, stabilized ",Acrolein,6.1,3,,,131P,,,,,,,FALSE,FALSE
23,2074,"Acrylamide, solid ",Acrylamide,6.1,,,Toxic,153P,,,,,,,FALSE,FALSE
24,3426,Acrylamide solution ,Acrylamide,6.1,,,Toxic,153P,,,,,,,FALSE,FALSE
25,2218,"Acrylic acid, stabilized ","Acrylic acid, Acrylic",8,3,,Corrosive & Flamm. liquid,132P,,,,,,,FALSE,FALSE
26,1093,"Acrylonitrile, stabilized ",Acrylonitrile,3,6.1,,Flamm. liquid & Toxic,131P,,,,,,,FALSE,FALSE
27,1133,Adhesives ,Adhesives ,3,,,Flamm. liquid,128,,,,,,,FALSE,FALSE
28,2205,Adiponitrile ,Adiponitrile ,6.1,,,Toxic,153,,,,,,,FALSE,FALSE
29,1950,"Aerosols, flammable ","Aerosols, flammable, degreasing solution, degreaser, dust remover, Aerosol",2.1,,,Flamm. gas,126,,,,,,,FALSE,FALSE
30,1950,"Aerosols, flammable, containing substances in Class 8, Packing Group II","Aerosols, flammable, Aerosol",2.1,8,,,,,,,,,,FALSE,FALSE
31,1950,"Aerosols, flammable, containing substances in Class 8, Packing Group III","Aerosols, flammable, Aerosol",2.1,8,,Flamm. gas & Corrosive,,,,,,,,FALSE,FALSE
32,1950,"Aerosols, flammable, containing substances in Division 6.1, Packing Group II ","Aerosols, flammable, Aerosol",2.1,6.1,,,,,,,,,,FALSE,FALSE
33,1950,"Aerosols, flammable, containing substances in Division 6.1, Packing Group III","Aerosols, flammable, Aerosol",2.1,6.1,,Flamm. gas  & Toxic,,,,,,,,FALSE,FALSE
34,1950,"Aerosols, flammable, containing substances in Division 6.1, Packing Group III and substances in Class 8, Packing Group III","Aerosols, flammable, Aerosol",2.1,"6.1,8",,Flamm. gas  & Toxic & Corrosive,,,,,,,,FALSE,FALSE
35,1950,"Aerosols, flammable, containing toxic gas ","Aerosols, flammable, Aerosol, toxic gas",2.3,2.1,,,,,,,,,,FALSE,FALSE
36,1950,"Aerosols, flammable (engine starting fluid) ","Aerosols, flammable, Aerosol",2.1,,,Flamm. gas,,,,,,,,FALSE,FALSE
